epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.3005,1.50363,3.80773,1.30023,0.00875,0.46753,0.05407,0.02861,1.48003,3.91943,1.18289,0.000297589,0.000297589,0.000297589
2,87.398,1.64947,2.91296,1.3403,0.43877,0.30391,0.26251,0.11623,1.71312,2.7014,1.39798,0.000588698,0.000588698,0.000588698
3,112.95,1.65305,2.51071,1.33769,0.47819,0.35278,0.31103,0.16605,1.63625,2.46791,1.40869,0.000867807,0.000867807,0.000867807
4,137.297,1.6309,2.27643,1.3495,0.53903,0.27655,0.25784,0.14087,1.68025,3.15565,1.41004,0.000855005,0.000855005,0.000855005
5,160.551,1.61204,2.14121,1.31786,0.55167,0.4269,0.43358,0.23397,1.63326,2.10045,1.3768,0.000837007,0.000837007,0.000837007
6,187.587,1.54937,1.98483,1.30456,0.53359,0.48263,0.47457,0.25419,1.5967,1.9354,1.36881,0.000819009,0.000819009,0.000819009
7,210.73,1.56739,1.93089,1.27619,0.54301,0.49815,0.5074,0.28287,1.62175,2.02216,1.38033,0.000801011,0.000801011,0.000801011
8,236.414,1.53449,1.89034,1.258,0.59777,0.48626,0.51079,0.26507,1.60784,1.93391,1.36569,0.000783013,0.000783013,0.000783013
9,262.011,1.53056,1.81915,1.28033,0.60141,0.5115,0.53606,0.29044,1.5953,1.85171,1.31593,0.000765014,0.000765014,0.000765014
10,285.481,1.52006,1.77488,1.26399,0.55044,0.5632,0.55943,0.3176,1.55159,1.80549,1.33306,0.000747016,0.000747016,0.000747016
11,311.373,1.50502,1.71352,1.25921,0.63263,0.57971,0.59814,0.31924,1.57609,1.67533,1.33276,0.000729018,0.000729018,0.000729018
12,336.691,1.46122,1.64535,1.24552,0.6665,0.518,0.60021,0.32721,1.58292,1.68208,1.32257,0.00071102,0.00071102,0.00071102
13,360.585,1.46992,1.58239,1.22212,0.70607,0.58453,0.63651,0.34119,1.59227,1.67093,1.335,0.000693022,0.000693022,0.000693022
14,386.186,1.47627,1.6144,1.2357,0.7797,0.54113,0.64678,0.36776,1.52244,1.55995,1.29635,0.000675023,0.000675023,0.000675023
15,410.307,1.42916,1.53337,1.21459,0.67605,0.60462,0.65638,0.37868,1.50298,1.51876,1.28533,0.000657025,0.000657025,0.000657025
16,434.47,1.42174,1.48685,1.21872,0.75781,0.55421,0.64526,0.37273,1.50724,1.53885,1.28582,0.000639027,0.000639027,0.000639027
17,460.168,1.3863,1.40534,1.1943,0.69046,0.62651,0.66288,0.36972,1.5249,1.52983,1.29472,0.000621029,0.000621029,0.000621029
18,482.816,1.42414,1.45213,1.21015,0.72269,0.61461,0.67105,0.38365,1.48775,1.54396,1.28612,0.000603031,0.000603031,0.000603031
19,508.482,1.40978,1.40396,1.19301,0.67347,0.63366,0.68113,0.3932,1.50655,1.44549,1.29933,0.000585032,0.000585032,0.000585032
20,534.55,1.40081,1.37781,1.18908,0.70866,0.65402,0.67045,0.3802,1.5229,1.44427,1.291,0.000567034,0.000567034,0.000567034
21,558.336,1.36483,1.33943,1.1794,0.75955,0.67685,0.72142,0.42588,1.47427,1.39699,1.26956,0.000549036,0.000549036,0.000549036
22,583.661,1.37751,1.31546,1.18374,0.70709,0.64512,0.68996,0.39729,1.49331,1.45058,1.27545,0.000531038,0.000531038,0.000531038
23,606.835,1.36137,1.30196,1.17649,0.71772,0.61299,0.688,0.40205,1.50256,1.41375,1.29191,0.00051304,0.00051304,0.00051304
24,631.474,1.33497,1.26742,1.17403,0.7209,0.68232,0.69597,0.41274,1.50362,1.37453,1.2886,0.000495041,0.000495041,0.000495041
25,654.309,1.32324,1.2195,1.15188,0.69038,0.7018,0.72261,0.40566,1.49808,1.36588,1.28639,0.000477043,0.000477043,0.000477043
26,676.938,1.34157,1.20636,1.16437,0.68969,0.68769,0.72038,0.41565,1.5142,1.3308,1.2881,0.000459045,0.000459045,0.000459045
27,702.337,1.33182,1.21011,1.15154,0.71546,0.6921,0.71652,0.41967,1.47409,1.33854,1.27131,0.000441047,0.000441047,0.000441047
28,725.478,1.28143,1.14178,1.1386,0.77534,0.66127,0.73529,0.43918,1.43014,1.28487,1.24312,0.000423049,0.000423049,0.000423049
29,749.999,1.27209,1.13992,1.1365,0.752,0.66328,0.72409,0.43336,1.47954,1.29111,1.27693,0.00040505,0.00040505,0.00040505
30,773.495,1.28111,1.14214,1.1398,0.75159,0.67219,0.72312,0.42675,1.4663,1.29274,1.26262,0.000387052,0.000387052,0.000387052
31,797.515,1.31182,1.15251,1.15524,0.78536,0.67542,0.73101,0.43313,1.46964,1.26658,1.26773,0.000369054,0.000369054,0.000369054
32,822.896,1.29761,1.1409,1.13957,0.76391,0.66951,0.72689,0.44065,1.43822,1.26697,1.25779,0.000351056,0.000351056,0.000351056
33,846.217,1.29689,1.13475,1.12734,0.76712,0.68932,0.72425,0.43316,1.46545,1.29316,1.25797,0.000333058,0.000333058,0.000333058
34,871.252,1.30532,1.11991,1.13438,0.74608,0.71116,0.7404,0.44217,1.44304,1.25647,1.2595,0.000315059,0.000315059,0.000315059
35,895.263,1.28474,1.08264,1.13037,0.7718,0.68653,0.74671,0.44256,1.45462,1.31212,1.26565,0.000297061,0.000297061,0.000297061
36,919.913,1.27166,1.09039,1.11325,0.71933,0.71977,0.74848,0.45265,1.42888,1.21658,1.2433,0.000279063,0.000279063,0.000279063
37,945.623,1.24148,1.04951,1.11276,0.78138,0.68066,0.73993,0.45429,1.42468,1.23001,1.25876,0.000261065,0.000261065,0.000261065
38,968.758,1.26471,1.05884,1.11323,0.75975,0.70106,0.74812,0.45194,1.4323,1.18833,1.25002,0.000243067,0.000243067,0.000243067
39,993.388,1.20948,1.03723,1.09618,0.7741,0.68881,0.75914,0.45849,1.44281,1.18004,1.25696,0.000225068,0.000225068,0.000225068
40,1018.68,1.21831,1.03018,1.09857,0.77548,0.69698,0.74848,0.45901,1.43956,1.20341,1.26321,0.00020707,0.00020707,0.00020707
41,1046.61,1.19369,1.05302,1.09085,0.76347,0.67644,0.74993,0.45792,1.44094,1.25673,1.25541,0.000189072,0.000189072,0.000189072
42,1070.1,1.17279,1.01586,1.07308,0.79546,0.68101,0.76684,0.46574,1.42677,1.21938,1.25312,0.000171074,0.000171074,0.000171074
43,1095.4,1.16423,0.98407,1.07079,0.76359,0.70425,0.74999,0.45084,1.43392,1.22202,1.25702,0.000153076,0.000153076,0.000153076
44,1118.88,1.14322,0.94651,1.05334,0.72751,0.71381,0.74354,0.44306,1.45577,1.21632,1.26495,0.000135077,0.000135077,0.000135077
45,1143.47,1.13745,0.94581,1.05282,0.75097,0.70267,0.7531,0.45304,1.44402,1.2162,1.26099,0.000117079,0.000117079,0.000117079
46,1166.22,1.1083,0.90723,1.05169,0.72076,0.73042,0.75195,0.45441,1.43047,1.20233,1.25885,9.9081e-05,9.9081e-05,9.9081e-05
47,1189.95,1.13158,0.90787,1.04498,0.80751,0.66672,0.7507,0.45456,1.43166,1.21195,1.25631,8.10828e-05,8.10828e-05,8.10828e-05
48,1214.64,1.10432,0.92553,1.04266,0.8178,0.67703,0.75309,0.44536,1.44363,1.22971,1.25845,6.30846e-05,6.30846e-05,6.30846e-05
49,1237.42,1.10958,0.89807,1.05462,0.78752,0.69239,0.75783,0.45405,1.42937,1.20214,1.25122,4.50864e-05,4.50864e-05,4.50864e-05
50,1261.35,1.10993,0.90245,1.05214,0.76817,0.7037,0.75109,0.45789,1.42233,1.18959,1.24661,2.70882e-05,2.70882e-05,2.70882e-05
