epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.1428,1.44607,3.78571,1.36413,0.01069,0.50296,0.06295,0.03563,1.4119,3.99842,1.32514,0.000297589,0.000297589,0.000297589
2,87.2268,1.55857,2.96316,1.41316,0.39799,0.26939,0.21681,0.1123,1.54749,3.04638,1.46132,0.000588698,0.000588698,0.000588698
3,118.233,1.54453,2.59613,1.38493,0.49215,0.32652,0.29977,0.15305,1.60893,2.59098,1.44413,0.000867807,0.000867807,0.000867807
4,149.284,1.53953,2.42203,1.39128,0.38154,0.4066,0.35514,0.19208,1.57169,2.82782,1.48377,0.000855005,0.000855005,0.000855005
5,179.741,1.52325,2.24899,1.37863,0.48183,0.46008,0.41398,0.22599,1.58557,2.5682,1.47354,0.000837007,0.000837007,0.000837007
6,210.266,1.49583,2.08673,1.37,0.4947,0.49794,0.44359,0.23413,1.55408,2.45377,1.44642,0.000819009,0.000819009,0.000819009
7,240.638,1.49548,2.018,1.34939,0.52923,0.49548,0.5341,0.29232,1.55405,2.19809,1.41362,0.000801011,0.000801011,0.000801011
8,270.286,1.4749,1.96259,1.32133,0.61128,0.49958,0.51146,0.26752,1.56231,2.34,1.44981,0.000783013,0.000783013,0.000783013
9,301.093,1.44511,1.88346,1.32997,0.64278,0.54405,0.57748,0.32248,1.5557,1.99485,1.44529,0.000765014,0.000765014,0.000765014
10,331.024,1.47341,1.82712,1.30839,0.65516,0.52925,0.56596,0.32562,1.48764,1.91532,1.38525,0.000747016,0.000747016,0.000747016
11,361.415,1.43748,1.7706,1.31244,0.62508,0.61979,0.61426,0.33786,1.48814,1.85063,1.38583,0.000729018,0.000729018,0.000729018
12,392.838,1.37862,1.67779,1.2855,0.71352,0.55431,0.61915,0.36686,1.48786,1.7739,1.38181,0.00071102,0.00071102,0.00071102
13,422.935,1.38107,1.60584,1.26591,0.67414,0.59096,0.64326,0.37428,1.45345,1.71004,1.35163,0.000693022,0.000693022,0.000693022
14,454.071,1.40616,1.66144,1.28712,0.7614,0.53982,0.64098,0.38661,1.47419,1.74581,1.38938,0.000675023,0.000675023,0.000675023
15,485.062,1.35356,1.54579,1.24138,0.71493,0.65871,0.70063,0.41603,1.45732,1.56327,1.33182,0.000657025,0.000657025,0.000657025
16,516.262,1.34285,1.49565,1.24652,0.78448,0.56309,0.66318,0.39147,1.43353,1.6201,1.35306,0.000639027,0.000639027,0.000639027
17,547.025,1.31258,1.44225,1.23196,0.70577,0.624,0.67101,0.39822,1.457,1.62482,1.34138,0.000621029,0.000621029,0.000621029
18,576.744,1.36143,1.44187,1.24233,0.67402,0.63355,0.66991,0.39741,1.45716,1.64849,1.33957,0.000603031,0.000603031,0.000603031
19,606.043,1.33734,1.4043,1.23297,0.71019,0.66908,0.69357,0.40627,1.43148,1.49517,1.33906,0.000585032,0.000585032,0.000585032
20,634.453,1.31797,1.40011,1.22936,0.74584,0.67428,0.71005,0.4093,1.43252,1.47495,1.33412,0.000567034,0.000567034,0.000567034
21,664.579,1.27886,1.31191,1.21053,0.72313,0.66291,0.70894,0.42208,1.41845,1.42133,1.32646,0.000549036,0.000549036,0.000549036
22,695.753,1.27405,1.2833,1.19822,0.75835,0.62577,0.69067,0.41052,1.45467,1.56148,1.32362,0.000531038,0.000531038,0.000531038
23,725.067,1.30102,1.28978,1.21641,0.73122,0.60511,0.67397,0.39399,1.44619,1.48867,1.35177,0.00051304,0.00051304,0.00051304
24,754.057,1.25543,1.24855,1.20272,0.74276,0.65451,0.71771,0.42939,1.43158,1.39867,1.33203,0.000495041,0.000495041,0.000495041
25,784.568,1.24852,1.20391,1.18749,0.77246,0.65463,0.71123,0.41855,1.40013,1.39008,1.32976,0.000477043,0.000477043,0.000477043
26,814.891,1.25473,1.18138,1.18397,0.75551,0.68847,0.71928,0.42137,1.45859,1.37102,1.33442,0.000459045,0.000459045,0.000459045
27,844.572,1.2553,1.1897,1.18421,0.76635,0.66075,0.7159,0.41648,1.42716,1.37517,1.31414,0.000441047,0.000441047,0.000441047
28,874.674,1.21652,1.13893,1.16232,0.77409,0.68476,0.72327,0.43407,1.42056,1.33986,1.3003,0.000423049,0.000423049,0.000423049
29,903.421,1.20261,1.11013,1.15923,0.79286,0.66087,0.72491,0.42863,1.43044,1.33833,1.33939,0.00040505,0.00040505,0.00040505
30,934.51,1.20274,1.10942,1.1637,0.70017,0.71691,0.72531,0.43047,1.42039,1.32766,1.31966,0.000387052,0.000387052,0.000387052
31,965.168,1.22971,1.11937,1.18086,0.73718,0.69363,0.72803,0.44355,1.42129,1.29047,1.33181,0.000369054,0.000369054,0.000369054
32,995.16,1.20642,1.10514,1.16339,0.74206,0.71026,0.73107,0.44717,1.41207,1.31967,1.32475,0.000351056,0.000351056,0.000351056
33,1026.9,1.21375,1.09521,1.15652,0.80009,0.67207,0.73464,0.44539,1.41359,1.27852,1.31939,0.000333058,0.000333058,0.000333058
34,1056.62,1.22651,1.08317,1.16215,0.77732,0.69998,0.75083,0.45389,1.41537,1.24766,1.31725,0.000315059,0.000315059,0.000315059
35,1087.05,1.19862,1.04315,1.14629,0.78468,0.68511,0.74706,0.45045,1.40065,1.27726,1.30741,0.000297061,0.000297061,0.000297061
36,1118.4,1.18451,1.03204,1.13791,0.76204,0.69742,0.73519,0.46203,1.38923,1.25641,1.28849,0.000279063,0.000279063,0.000279063
37,1148.74,1.15398,0.99379,1.13322,0.7553,0.70523,0.74818,0.45758,1.39869,1.25921,1.30878,0.000261065,0.000261065,0.000261065
38,1179.37,1.17615,1.00616,1.13824,0.77754,0.71849,0.7627,0.47404,1.36239,1.18928,1.27863,0.000243067,0.000243067,0.000243067
39,1210.61,1.13105,0.995,1.1107,0.78788,0.69415,0.75569,0.46251,1.40717,1.21832,1.30114,0.000225068,0.000225068,0.000225068
40,1240.31,1.14491,0.96975,1.11934,0.78711,0.70724,0.76068,0.4682,1.38246,1.19681,1.31146,0.00020707,0.00020707,0.00020707
41,1274.26,1.12378,1.02195,1.11938,0.73843,0.70483,0.73294,0.44907,1.42365,1.33,1.34099,0.000189072,0.000189072,0.000189072
42,1304.82,1.10736,0.99726,1.10107,0.76309,0.69505,0.74929,0.46101,1.42012,1.25628,1.33672,0.000171074,0.000171074,0.000171074
43,1333.84,1.09209,0.94992,1.10174,0.7985,0.66527,0.74597,0.46043,1.4104,1.21429,1.32629,0.000153076,0.000153076,0.000153076
44,1364.15,1.07174,0.92023,1.08223,0.7234,0.71652,0.75107,0.46344,1.41438,1.22019,1.32381,0.000135077,0.000135077,0.000135077
45,1393.29,1.0644,0.91433,1.07806,0.80992,0.67594,0.764,0.47999,1.39138,1.20515,1.3053,0.000117079,0.000117079,0.000117079
46,1423.72,1.034,0.88535,1.06906,0.77461,0.70281,0.75664,0.47536,1.39261,1.19728,1.31072,9.9081e-05,9.9081e-05,9.9081e-05
47,1452.72,1.04773,0.86719,1.0666,0.79425,0.70227,0.76699,0.47956,1.38519,1.19446,1.30969,8.10828e-05,8.10828e-05,8.10828e-05
48,1481.42,1.04167,0.89774,1.07301,0.78354,0.71473,0.76848,0.47939,1.39124,1.19277,1.31439,6.30846e-05,6.30846e-05,6.30846e-05
49,1510.93,1.05,0.87058,1.08099,0.81303,0.69693,0.76922,0.4814,1.39553,1.18292,1.31201,4.50864e-05,4.50864e-05,4.50864e-05
50,1541.52,1.02999,0.85658,1.06506,0.8008,0.71654,0.77549,0.48919,1.39158,1.17026,1.30558,2.70882e-05,2.70882e-05,2.70882e-05
